Subject,Text
 Clicking a cell containing a formula when another cell's in-place editor contains pending changes causes an AV,"Using the VCL demo, input the value 20 in the cell F15 and click on cell H22 which has the formula for total amount.<br>This will generate an AV error.<br><br>"
 DocumentPreviewControl - Item translation is missing in the search parameter dropdown ,1. Label 'Search' and search parameters are missing localization in russian.<br>2. Comboboxes in scale dialog are too small. 
"""Extract String To Resource"" refactoring should display a sorted list of resource files",<p>I just updated to the latest version of CodeRush to see if extract string to resource sorting was working and now this does not work at all. I rebooted my virtual machine and still the same result.<br /><br />Please Help!<br />David McCarter<br />Microsoft MVP </p>
"""Extract String To Resource"" refactoring should display a sorted list of resource files","<p>When using extract string to resource, can the list of resource files please be sorted?<br /><br />David McCarter<br />Microsoft MVP </p>"
"""Jump To Symbol"" doesn't show any targets if non-all members selected in filtering options","After upgrade to v16.2.3 navigation feature&nbsp;JumpToSymbol is broken when being configured as shown in the attached screenshot. &nbsp;It doesn't find classes or interfaces anymore when members are deactivated. After activating ALL member options it works again.<br><br>This has been working  in the previous versions. I already tried to reset all CCR settings, no luck.<br> "
"""Jump To Symbol"" doesn't show any targets if not all members are selected in the filter options","After upgrade to v16.2.3 navigation feature&nbsp;JumpToSymbol is broken when being configured as shown in the attached screenshot. &nbsp;It doesn't find classes or interfaces anymore when members are deactivated. After activating ALL member options it works again.<br><br>This has been working  in the previous versions. I already tried to reset all CCR settings, no luck.<br> "
"""Rename namespace to mach folder structure"" refactoring causes an exception ","Hello,<br><br>The ""rename namespace to match folder structure"" not work.<br><br>1. Create a class<br>2. Move the file<br>3. Try to rename the namespace, nothing happen.<br><br>I got a message on the top of the editor ""Enable or Enable and ignore"" or something like that.<br><br>Look the video.<br><br>C. "
"""Rename namespace to mach folder structure"" refactoring causes exception on apply","Hello,<br><br>The ""rename namespace to match folder structure"" not work.<br><br>1. Create a class<br>2. Move the file<br>3. Try to rename the namespace, nothing happen.<br><br>I got a message on the top of the editor ""Enable or Enable and ignore"" or something like that.<br><br>Look the video.<br><br>C. "
"""The file *** cannot be modified in the designer while building or debugging."" design-time error appears during building a project",Hi Team<br />I have a error designer while debugging or building<br />See attached screen<br />Piotr<br />
"""The file *** cannot be modified in the designer while building or debugging."" design-time error when building a project",Hi Team<br />I have a error designer while debugging or building<br />See attached screen<br />Piotr<br />
"""The State Information is invalid for this page and might be corrupted"" error occurs",Hi<br><br> I have problem with Page<br>when on Page controls fire callback <br>then if I press F5 Application shows error <br>example in attachment<br>
"""TypeError: element.id.indexOf is not a function"" JavaScript error if an array is passed to the isDXScriptElement function","<p>Hi,</p><p>When using the Devexpress in a page which also loads data using Jquery ajax , one of the function in the script  in (MVC/utils.js)<br />
<br />
</p><code lang='js'>function isDXScriptElement(element){ 
 return element &amp;&amp; element.id &amp;&amp; element.id.indexOf(__aspxStartupScriptPrefix) == 0; 
} </code><p>throws an exception, if the element being loaded has an id property and it is not of string type, The workaround i have done for now is to override this function to <br />
<br />
<code lang='js'>function isDXScriptElement(element){ 
 return element &amp;&amp; element.id &amp;&amp; element.id.toString().indexOf(__aspxStartupScriptPrefix) == 0;
} </code></p><p>Can this be done in a different way or will this be marked as bug which will be fixed in the next release.</p><p></p>"
".NET Core Angular 2 Template - The ""Module not found: Error:  Can't resolve'X' in ""Y"""" error occurs","I followed the link tutorial,&nbsp;<a href=""https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/"">https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/</a> &nbsp;, however it has the following problems:<br><br>Module not found: Error: Can't resolve 'devextreme/ui/accordion' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'  @ ./~/devextreme-angular/ui/accordion.js 20:18-52<br><br>Module not found: Error: Can't resolve 'devextreme/ui/action_sheet' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br><br> Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br>  "
".NET Core Angular 2 Template - The ""Module not found: Error:  Can't resolve'X' in ""Y"""" error occurs","I followed the link tutorial,&nbsp;<a href=""https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/"">https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/</a> &nbsp;, however it has the following problems:<br><br>Module not found: Error: Can't resolve 'devextreme/ui/accordion' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'  @ ./~/devextreme-angular/ui/accordion.js 20:18-52<br><br>Module not found: Error: Can't resolve 'devextreme/ui/action_sheet' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br><br> Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br><br><br>...<br> "
".NET Core Angular 2 Template - The ""Module not found: Error:"" occurs","I followed the link tutorial,&nbsp;<a href=""https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/"">https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/</a> &nbsp;, however it has the following problems:<br><br>Module not found: Error: Can't resolve 'devextreme/ui/accordion' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'  @ ./~/devextreme-angular/ui/accordion.js 20:18-52<br><br>Module not found: Error: Can't resolve 'devextreme/ui/action_sheet' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br><br> Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br>  "
".NET Core Angular 2 Template - The ""Module not found: Error:"" occurs","I followed the link tutorial,&nbsp;<a href=""https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/"">https://js.devexpress.com/Documentation/16_2/Guide/VS_Integration/Add_DevExtreme_to_NET_Core_Angular_2_Template/</a> &nbsp;, however it has the following problems:<br><br>Module not found: Error: Can't resolve 'devextreme/ui/accordion' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'  @ ./~/devextreme-angular/ui/accordion.js 20:18-52<br><br>Module not found: Error: Can't resolve 'devextreme/ui/action_sheet' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br><br> Module not found: Error: Can't resolve 'devextreme/ui/autocomplete' in 'C:\Users\homerokzam\Documents\Visual Studio 2017\Projects\NGelati\gelati\node_modules\devextreme-angular\ui'<br><br><br>...<br> "
<errornous question to be deleted>,"Hi,<br /><br />&nbsp; &nbsp;I'm having an issue with some columns for which the filter values are not populated (see image attached).<br /><br />&nbsp; &nbsp;What may cause this behaviour ?<br />"
<hey there!>   TreeListDragDropManager sometimes does not allow dropping rows in the TreeListControl with the FlowDirection set to RTL,"<p>Dear Devexpress,<br />
<br />
After very long troubleshooting the issue behind this behavior , I found that when I changed the FlowDirection to LTR, the same code works just fine,<br />
please find the attachment for sample.<br />
<br />
Best Regards, <br />
Ali</p>"
13.2 - DashboardDesigner - Unique names are displayed in a parameter's lookup editor when an OLAP data source is used as a data source for a dashboard parameter,"<p><a href=""http://screencast.com/t/E0LlvA5Ai1t"">http://screencast.com/t/E0LlvA5Ai1t</a></p>"
14.2.6 FormLayout ignore the DisplayAttribute,"Hello,<br /><br /> I just upgrade my project to 14.2.6 from 14.1.x and I have a big problem.<br /><br />I have two language in my projet, french and english. The default is french. All html generated with the FormLayout extension is always in english...<br /><br />See the attachment for a demo project with the bug.<br /><br />Thank<br />"
14.2.6 FormLayout ignore the DisplayAttribute,"Hello,<br /><br /> I just upgrade my project to 14.2.6 from 14.1.x and I have a big problem.<br /><br />The FormLayout ignore the DisplayAttribute of my model.<br /><br />See the attachment for a demo project with the bug.<br /><br />Thank<br />"
"18.1.5.18226 : Clicking ""Layout"" on the left of the Grid Designer immediately closes the designer window","Hello again.&nbsp; Now I am trying to edit the layout of a gridcontrol&nbsp;and when I click ""Layout"" on the left side of the designer, the designer dialog immediately closes.<br><br>What do you need to replicate, if anything?<br><br>I tried grids with columns already defined and some without any columns.&nbsp; The same thing happens. "
"18.1.5.18226 : Clicking ""Layout"" on the left of the Grid Designer immediately closes the designer window","Hello again.&nbsp; Now I am trying to edit the layout of a gridcontrol&nbsp;and when I click ""Layout"" on the left side of the designer, the designer dialog immediately closes.<br><br>What do you need to replicate, if anything?<br><br>I tried grids with columns already defined and some without any columns.&nbsp; The same thing happens.<br><br>Again, this worked fine in 17.2.6."
"18.1.5.18226 : Clicking ""Layout"" on the left of the Grid Designer immediately closes the designer window","Hello again.&nbsp; Now I am trying to edit the layout of a gridcontrol&nbsp;without any columns defined yet and when I click ""Layout"" on the left side of the designer, the designer dialog immediately closes.<br><br>What do you need to replicate, if anything? "
A category row image is shown with odd outline since upgrade to 15.1,"Hi<br /><br />As per attached screenshot - all images I use in categories on my vertical grid appear with a strange outline down two sides - didn't have problem in v14, but since upgrading to v15.1 I noticed it<br /><br />If you zoom in to screenshot and look at image you will see different colour line down bottom and right side  - this doesn't appear in original images?!"
A Chart layout is refreshed incorrectly after the Legend item visibility is changed,"Run the attached project, select/deselect some of the chart series via the legend checkboxes.<br><br>Notice that occasionally when deselecting a series that sometimes the series will disappear, but the chart will not be recalculating- leaving a blank gap where the hidden series was. &nbsp;Also the ordering of the remaining columns after the series hide sometimes seems to change.<br><br> "
A check box (BooleanPropertyEditor) has double caption after changing its caption location,"<p><br />
Using the model. When I set the TextPosition of a Boolean property  - then the Checkbox in WinUi has 2 captions</p><p>Screenshot attached</p>"
A check box' (BooleanPropertyEditor's) caption is duplicated after changing the layout item's caption location,"<p><br />
Using the model. When I set the TextPosition of a Boolean property  - then the Checkbox in WinUi has 2 captions</p><p>Screenshot attached</p>"
A color scheme is not applied to a theme with a renamed root folder,"<p>The theme editor sometimes makes assumptions about the root folder name.<br /><br />For example, I have themes for various different versions  of the controls, but if I rename the theme folder from DevExpress.Xpf.Themes.MyTheme to DevExpress.Xpf.Themes.MyTheme.14.2.4, then the theme editor will give me an error when creating or opening a color scheme because it is trying to access the DevExpress.Xpf.Themes.MyTheme folder.<br /><br />I know I could add an extra&nbsp;folder level, like this: DevExpress.Xpf.Themes.MyTheme.14.2.4\DevExpress.Xpf.Themes.MyTheme. But I would rather not have to do that. Right now my workaround is to rename the folder, edit my theme, then rename it back.<br /><br />It would be nice if the theme editor did everything relative to the folder of the theme project so that the root folder name didn't matter. </p>"
A color scheme is not applied to a theme with renamed root folder,"<p>The theme editor sometimes makes assumptions about the root folder name.<br /><br />For example, I have themes for various different versions  of the controls, but if I rename the theme folder from DevExpress.Xpf.Themes.MyTheme to DevExpress.Xpf.Themes.MyTheme.14.2.4, then the theme editor will give me an error when creating or opening a color scheme because it is trying to access the DevExpress.Xpf.Themes.MyTheme folder.<br /><br />I know I could add an extra&nbsp;folder level, like this: DevExpress.Xpf.Themes.MyTheme.14.2.4\DevExpress.Xpf.Themes.MyTheme. But I would rather not have to do that. Right now my workaround is to rename the folder, edit my theme, then rename it back.<br /><br />It would be nice if the theme editor did everything relative to the folder of the theme project so that the root folder name didn't matter. </p>"
"A custom data source does not apply paging, filtering, sorting and grouping","<p>I have created a custom data source as shown below:</p><code lang='js'>
var dataSource = new DevExpress.data.DataSource({
      load: function (loadOptions) {
          var d = new $.Deferred();
          $.getJSON('http://mydomain.com/MyDataService').done(function (data) {
                ...
                d.resolve(data); 
          });
          return d.promise();
      }
});
</code><p>Now, I want to filter data and I am using the following code:</p><code lang='js'>
dataSource.filter(""Name"", ""contains"", 'SomeValue');
dataSource.load();
</code><p>My data source does not apply a filter expression and loads all data. How can I solve the problem?</p>"
A custom theme is rendered incorrectly after upgrading a project,"Hi, I am using devexpress version 18.1.4 with IOS theme. I have made some changes in theme file according to user requirement. Before i updated my devexpresss verion to 18.1.4, my theme was working properly for header filter design of gridview but after version update its showing some ugly design. Here i have attached before and after images of header filetr popup and my theme file as well. Please let me know what's wrong with theme."
A dialog has an incorrect position after the virtual keyboard is hidden on iOS,"<p>I have a dxlist that contains text&nbsp;boxes.<br /><br />The last row of the list contains buttons.<br /><br />Clicking a button displays a dialog, prompting for confirmation.<br /><br />In the scenario where rows in the lower part of the list&nbsp;are&nbsp;tapped, the screen is ""moved up"" to allow for the keyboard and the virtual keyboard is displayed.<br /><br />Tapping the button to display the dialog displays the dialog as per the attached image.<br /><br />This only appears to be an issue on an iPad mini running ios7. it appears ok on an ipad mini running ios6 and also on an iPad4 running ios7.I have not tested it on android.<br /><br />Project (and image) attached. </p>"
A dialog has an incorrect position after the virtual keyboard is hidden on iOS 7,"<p>I have a dxlist that contains text&nbsp;boxes.<br /><br />The last row of the list contains buttons.<br /><br />Clicking a button displays a dialog, prompting for confirmation.<br /><br />In the scenario where rows in the lower part of the list&nbsp;are&nbsp;tapped, the screen is ""moved up"" to allow for the keyboard and the virtual keyboard is displayed.<br /><br />Tapping the button to display the dialog displays the dialog as per the attached image.<br /><br />This only appears to be an issue on an iPad mini running ios7. it appears ok on an ipad mini running ios6 and also on an iPad4 running ios7.I have not tested it on android.<br /><br />Project (and image) attached. </p>"
A dialog has an incorrect position after virtual keyboard is hidden on iOS,"<p>I have a dxlist that contains text&nbsp;boxes.<br /><br />The last row of the list contains buttons.<br /><br />Clicking a button displays a dialog, prompting for confirmation.<br /><br />In the scenario where rows in the lower part of the list&nbsp;are&nbsp;tapped, the screen is ""moved up"" to allow for the keyboard and the virtual keyboard is displayed.<br /><br />Tapping the button to display the dialog displays the dialog as per the attached image.<br /><br />This only appears to be an issue on an iPad mini running ios7. it appears ok on an ipad mini running ios6 and also on an iPad4 running ios7.I have not tested it on android.<br /><br />Project (and image) attached. </p>"
A form is scaled incorrectly after loading a SpellChecker if the SpellChecker.Culture property value differs from the current machine culture,"Hello,<br><br><strong>Problem1:</strong><br>we develop winforms app using spellchecker control. We observe strange behavior. On displays when zoomfactor is more than 100%, let's say 150% the app is correctly displayed, but immediately when some form which contains spellchecker control is displayed/instantiated the zoomfactor of the application is reset to 100% and gets unreadable on the display,  because the letters are too small.<br><br>This occures in strange conditions. When culture of spellchecker component is set to sk-SK, everything works as expected. When I change the culture to ch-DE, problems occures.<br><br>Please see attached solution to reproduce the problem.<br><br><strong>Problem2:</strong><br>Even when the zoom is ok, the text and details are blurry.<br><br>Please see attached document for details. Problem1 is realy bad, because we cannot deliver application to customers which have more than 100% zoom in windows settings. Problem2 is not so hot, but we would like to solve it.<br><br><br><br><br> "
A JS exception is thrown when FileManager is added to the page,<br> <br> After adding a FileManager to my view I get this Startup Exception in VS ... I hit [Continue] and the thing does seem to work well ...<br><br>Is this exception an issue ?&nbsp;&nbsp; How do I remove it ?<br><br><br>
"A list reference is not updated to the ""#REF"" reference in formulas when the list is deleted from a workbook","Hello, in the attached project the worksheet.Import throws a NullReferenceException.. could you please check?<br /><br />Regards<br />Simone"
A NotSupportedException is raised when  a new value is selected while different enum types with the same name are used in several ComboBoxEdits,"Hi DevExpress,<br><br>I run into problem with binding ComboBoxEdit to an enum. Everything works fine until&nbsp;I have 2 different enums&nbsp;defined inside separate classes but with the same enum name (and enum values). Combobox which is ""loaded"" first&nbsp;behaves like expected, the other shows a validation error (<em>Value '' could not be converted</em>). This happens even when comboboxes exist in separate user controls.<br><br>When I try to select value of second  combobox, there is following error in&nbsp;VS output window: <em>Cannot convert 'Foo' from type 'EDataType' to type 'EnumBindingDemo.Data2+EDataType' for 'en-US' culture with default conversions; consider using Converter property of Binding. NotSupportedException:'System.NotSupportedException: EnumConverter cannot convert from EnumBindingDemo.Data1+EDataType.</em><br><br>To me it seems like the&nbsp;enum type is cached by its name&nbsp;somewhere and then&nbsp;during second conversion types don't match. If I rename one of the enums everything works ok.<br><br>I attached a simple demo where you can see the behaviour.<br><br>Kind regards<br>Robert<br> "
A NotSupportedException is raised when a new value is selected while different enum types with the same name are used in several ComboBoxEdits,"Hi DevExpress,<br><br>I run into problem with binding ComboBoxEdit to an enum. Everything works fine until&nbsp;I have 2 different enums&nbsp;defined inside separate classes but with the same enum name (and enum values). Combobox which is ""loaded"" first&nbsp;behaves like expected, the other shows a validation error (<em>Value '' could not be converted</em>). This happens even when comboboxes exist in separate user controls.<br><br>When I try to select value of second  combobox, there is following error in&nbsp;VS output window: <em>Cannot convert 'Foo' from type 'EDataType' to type 'EnumBindingDemo.Data2+EDataType' for 'en-US' culture with default conversions; consider using Converter property of Binding. NotSupportedException:'System.NotSupportedException: EnumConverter cannot convert from EnumBindingDemo.Data1+EDataType.</em><br><br>To me it seems like the&nbsp;enum type is cached by its name&nbsp;somewhere and then&nbsp;during second conversion types don't match. If I rename one of the enums everything works ok.<br><br>I attached a simple demo where you can see the behaviour.<br><br>Kind regards<br>Robert<br> "
A particular web site is not loaded completely when recording a test,"When tried to record test steps using visual test recorder,&nbsp;we are unable to open the web application successfully.<br>Actually, it opened in zoom-in mode. <br>please find the below snap s for reference.<br><br>&nbsp;URL for reference:&nbsp;<a href=""http://jet.com"">http://jet.com</a><br><br><br><br>NOTE: Please make this ticket as private since it contains production site details and&nbsp; snaps<br> "
A particular web site is not loaded completely when recording a test,"When tried to record test steps using visual test recorder,&nbsp;we are unable to open the web application successfully.<br>Actually, it opened in zoom-in mode. <br>please find the below snap s for reference.<br><br>&nbsp;URL for reference:&nbsp;<a href=""http://jet.com"">http://jet.com</a><br><br><br><br>NOTE: Please make this ticket as private since it contains proprietary info.<br>"
A popup menu does not display all toolbars,"Hello support team,<br /><br />I'm using a ToolbarListItem feature to list all toolbars of my application in an menu list.<br />How to reproduce:<br />Please open the attached application and perform following steps:<br />1. Go to Toolbars item an do mouse click. =&gt; the submenu lists entries named 'Toolbar', 'File' and 'Customize...'.<br />2. Open Customization Window.<br />3. Create a new Toolbar and close the Customization Window.<br />4. Go to Toolbars item an do mouse click. =&gt; the submenu is empty (the object name an type are noted).<br /><br />Previously I was used Version 14.1.6 in my application and there the behavior was still correct.<br />What can I do to fix the faulty behavior of the ToolbarListItem feature?<br /><br />Thanks<br />Viktor<br /><br /><br />"
A problem occurs when file attachments are stored in the file system with middle-tier configuration,"<p>I change <a href=""http://www.devexpress.com/Support/Center/Example/Details/E965"">http://www.devexpress.com/Support/Center/Example/Details/E965</a> to use middle tier,<br />
but the application store files on local computer, and create empty file on remote location.</p><p>&nbsp;But I wish that files are stored only on remote computer,<br />
any ideas how to change this?</p><p>Becouse we nead application to store large amount of files on server ile system,<br />
becouse of SQL Express database size limitation.</p>"
A redundant margin appears on the X axis in case of the DateTime chart argument type,"<a href=""http://screencast.com/t/qcNDXDx9qK"">http://screencast.com/t/qcNDXDx9qK</a><br><a href=""http://screencast.com/t/DOlDRIhHZj"">http://screencast.com/t/DOlDRIhHZj</a>"
A redundant margin appears on the X axis in the case of the DateTime chart argument type,"<a href=""http://screencast.com/t/qcNDXDx9qK"">http://screencast.com/t/qcNDXDx9qK</a><br><a href=""http://screencast.com/t/DOlDRIhHZj"">http://screencast.com/t/DOlDRIhHZj</a>"
A RichEditControl calculates a paragraph indent incorrectly after resetting numbering for this paragraph,"I have a bug with the indentation with this sequence in our application:&nbsp;<br>- Create Letter;<br>- Creat a many lines in the letter;<br>- Insert several Bullet and Numbering on this new lines;<br>- Save (with SaveDocument method in RTF format) and Close the letter;<br>- Open the letter (with&nbsp;LoadDocument);<br>- Place the cursor just after the bullet;<br>- Click on the Bullet/Numbering button on the Toolbar.<br><br>Result : the indentation is the same without Bullet or Numbering. But the indentation works fine until the Save, Close and Open...<br><br>How I can fix this problem?<br><br> Thanks for your help!<br> <br>"
A storyboard does not work properly in the 15.1 version,"Hi<br /><br />I have a project (see the screenshot) where I'm updating a ColorBrush through an animation. The color is changed from yellow to green and back again or from yellow to red and also back again. Until now there hasn't been any problems  when updating from one version of DevExpress to another. But after moving from 14.2.6 to 15.1.3 the color won't change anymore.&nbsp;<br /><br />I have attached two small projects where you can see my problem. One of the projects is using 14.2.6 and working as it should. The other one is updated to version 15.1.3 and is NOT working. The color won't change anymore.<br /><br />Could you please try to solve the issue.<br /><br />Thanks,<br />Lars<br /><br />"
A TcxRegisterClasses object is not destroyed on unloading the DLL containing ExpressEditors components,"It may happen that some instances of&nbsp;TcxRegisteredClasses won't be freed when you call dxFinalize before the module is unloaded:<br><br>1. So first problem ist located in cxEdit.pas where  the finalization method ""UnregisterAssistants"" is registered at dxUnitsLoader. So the&nbsp;FRegisteredEditProperties member will be freed after we call dxFinalize.&nbsp;<br>In our case we do it just before  the DLL will be unloaded.<br>2. Next problem is in some unit finalization sections, for example at  cxProgressBar.pas. There is a method called ""GetRegisteredEditProperties.Unregister(TcxProgressBarProperties)"". The ""GetRegisteredEditProperties"" funtion than creates a new&nbsp;FRegisteredEditProperties member which no one will ever free again.<br><br>Solution:<br>- So all of the  &nbsp;GetRegisteredEditProperties-calls in the unit finalization sections should be registered at dxUnitsLoader or<br>-  GetRegisteredEditProperties should not create new instances after it was uninitialized by someone."
A TcxRegisterClasses object is not destroyed on unloading the DLL containing ExpressEditors components.,"It may happen that some instances of&nbsp;TcxRegisteredClasses won't be freed when you call dxFinalize before the module is unloaded:<br><br>1. So first problem ist located in cxEdit.pas where  the finalization method ""UnregisterAssistants"" is registered at dxUnitsLoader. So the&nbsp;FRegisteredEditProperties member will be freed after we call dxFinalize.&nbsp;<br>In our case we do it just before  the DLL will be unloaded.<br>2. Next problem is in some unit finalization sections, for example at  cxProgressBar.pas. There is a method called ""GetRegisteredEditProperties.Unregister(TcxProgressBarProperties)"". The ""GetRegisteredEditProperties"" funtion than creates a new&nbsp;FRegisteredEditProperties member which no one will ever free again.<br><br>Solution:<br>- So all of the  &nbsp;GetRegisteredEditProperties-calls in the unit finalization sections should be registered at dxUnitsLoader or<br>-  GetRegisteredEditProperties should not create new instances after it was uninitialized by someone."
